countrycode,country,latitude,longitude,confirmed,deaths,recovered,active
AG,Antigua and Barbuda,17.0608,-61.7964,26,3,20,3
AL,Albania,41.1533,20.1683,1299,34,960,305
AM,Armenia,40.0691,45.0382,13675,217,4451,9007
AO,Angola,-11.2027,17.8739,96,4,38,54
AR,Argentina,-38.4161,-63.6167,24761,717,7568,16476
AT,Austria,47.5162,14.5501,16979,672,15875,432
AU,Australia,-25.274398,133.775136,7274,102,6740,432
AZ,Azerbaijan,40.1431,47.5769,8191,98,4606,3487
BA,Bosnia and Herzegovina,43.9159,17.6791,2728,160,2049,519
BB,Barbados,13.1939,-59.5432,92,7,81,4
BD,Bangladesh,23.685,90.3563,71675,975,15337,55363
BE,Belgium,50.8333,4.469936,59437,9619,16324,33494
BF,Burkina Faso,12.2383,-1.5616,891,53,765,73
BG,Bulgaria,42.7339,25.4858,2889,167,1623,1099
BH,Bahrain,26.0275,50.55,15731,29,10606,5096
BI,Burundi,-3.3731,29.9189,83,1,45,37
BJ,Benin,9.3077,2.3158,305,4,188,113
BO,Bolivia,-16.2902,-63.5887,14644,487,2190,11967
BR,Brazil,-14.235004,-51.92528,739503,38406,396737,304360
BS,Bahamas,25.025885,-78.035889,103,11,64,28
